,Id,PID,MS SubClass,MS Zoning,Street,Land Contour,Neighborhood,Condition 1,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,BsmtFin SF 1,Total Bsmt SF,Heating QC,Central Air,Electrical,Gr Liv Area,Full Bath,Half Bath,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Finish,Garage Cars,Garage Area,Paved Drive,Sale Type,SalePrice
0,109,533352170,60,RL,Pave,Lvl,Sawyer,RRAe,6,1976,2005,289.0,Gd,TA,CBlock,533.0,725.0,Ex,Y,SBrkr,1479,2,1,Gd,6,Typ,0,Attchd,RFn,2.0,475.0,Y,WD ,130500
1,544,531379050,60,RL,Pave,Lvl,SawyerW,Norm,7,1996,1997,132.0,Gd,TA,PConc,637.0,913.0,Ex,Y,SBrkr,2122,2,1,Gd,8,Typ,1,Attchd,RFn,2.0,559.0,Y,WD ,220000
2,153,535304180,20,RL,Pave,Lvl,NAmes,Norm,5,1953,2007,0.0,TA,Gd,CBlock,731.0,1057.0,TA,Y,SBrkr,1057,1,0,Gd,5,Typ,0,Detchd,Unf,1.0,246.0,Y,WD ,109000
3,318,916386060,60,RL,Pave,Lvl,Timber,Norm,5,2006,2007,0.0,TA,TA,PConc,0.0,384.0,Gd,Y,SBrkr,1444,2,1,TA,7,Typ,0,BuiltIn,Fin,2.0,400.0,Y,WD ,174000
4,255,906425045,50,RL,Pave,Lvl,SawyerW,Norm,6,1900,1993,0.0,TA,TA,PConc,0.0,676.0,TA,Y,SBrkr,1445,2,0,TA,6,Typ,0,Detchd,Unf,2.0,484.0,N,WD ,138500
5,138,535126040,20,RL,Pave,Lvl,NAmes,PosA,6,1966,2002,0.0,Gd,TA,CBlock,247.0,1517.0,Ex,Y,SBrkr,1888,2,1,Gd,6,Mod,1,Attchd,Fin,2.0,578.0,Y,WD ,190000
6,2827,908186070,180,RM,Pave,Lvl,Edwards,Norm,6,2005,2006,82.0,TA,TA,PConc,547.0,547.0,Gd,Y,SBrkr,1072,2,0,TA,5,Typ,0,Basment,Fin,2.0,525.0,Y,New,140000
7,145,535154050,20,RL,Pave,Lvl,NAmes,Norm,5,1959,1959,180.0,TA,TA,CBlock,1000.0,1188.0,Fa,Y,SBrkr,1188,1,0,TA,6,Typ,0,Attchd,RFn,2.0,531.0,Y,COD,142000
8,1942,535353130,20,RL,Pave,Lvl,OldTown,Artery,5,1952,1952,0.0,TA,TA,CBlock,292.0,924.0,TA,Y,SBrkr,924,1,0,TA,6,Typ,0,Detchd,Unf,1.0,420.0,Y,WD ,112500
9,1956,535426130,60,RL,Pave,HLS,NAmes,Norm,5,1969,1969,192.0,TA,TA,PConc,650.0,1040.0,TA,Y,SBrkr,2080,1,2,Fa,9,Typ,2,Attchd,Unf,2.0,504.0,Y,WD ,135000
10,1044,527451290,160,RM,Pave,Lvl,BrDale,Norm,6,1971,1971,232.0,TA,TA,CBlock,387.0,483.0,TA,Y,SBrkr,987,1,1,TA,4,Typ,0,Detchd,Unf,1.0,264.0,Y,COD,85400
11,2752,906380150,20,RL,Pave,Lvl,CollgCr,Norm,7,2005,2005,0.0,Gd,TA,PConc,393.0,1208.0,Ex,Y,SBrkr,1208,2,0,Gd,6,Typ,0,Attchd,RFn,2.0,632.0,Y,WD ,183600
12,807,906226060,70,RL,Pave,Bnk,SawyerW,Feedr,5,1880,2007,0.0,Gd,TA,PConc,0.0,0.0,Ex,Y,SBrkr,2016,1,0,TA,7,Mod,1,Attchd,Unf,2.0,576.0,P,WD ,131000
13,1177,533236070,160,FV,Pave,Lvl,Somerst,Norm,8,1999,2000,456.0,Gd,TA,PConc,813.0,960.0,Ex,Y,SBrkr,1607,2,1,Gd,7,Typ,0,Detchd,Unf,2.0,480.0,Y,ConLD,200000
14,1480,907418040,20,RL,Pave,Lvl,CollgCr,Norm,7,2007,2007,0.0,Gd,TA,PConc,24.0,1351.0,Ex,Y,SBrkr,1361,2,0,Gd,6,Typ,0,Attchd,RFn,2.0,610.0,Y,WD ,193000
15,324,923202105,20,RL,Pave,Lvl,Mitchel,Norm,5,2004,2005,0.0,TA,TA,PConc,0.0,1430.0,Ex,Y,SBrkr,1430,2,0,Gd,7,Typ,0,Attchd,RFn,2.0,624.0,Y,WD ,173500
16,1311,902301140,70,RM,Pave,Lvl,OldTown,Norm,5,1916,1950,0.0,TA,TA,BrkTil,0.0,624.0,Fa,N,SBrkr,1344,1,0,TA,7,Typ,0,Detchd,Unf,3.0,513.0,Y,COD,98000
